Batch_Number,Avg_CE_Train,Avg_CE_Test,Avg_Accuracy,Num_Runs
0,,2.313213,9.02,100
1,2.31338,5.338420999999999,39.3749,100
2,5.310252,16.157884,34.1711,100
3,16.013958,20.095504000000002,30.8418,100
4,19.954712,17.384445,32.512,100
5,17.295237,13.51401,35.3548,100
6,13.435477,10.954565,39.0801,100
7,10.963322,8.403870000000001,43.2075,100
8,8.377095,6.6017269999999995,48.1916,100
9,6.490353,4.74655,55.5569,100
10,4.6841289999999995,3.449151,61.0819,100
11,3.4481420000000003,2.612833,64.0164,100
12,2.590145,2.16386,67.12,100
13,2.136874,1.813585,69.4234,100
14,1.778211,1.5796379999999999,71.0663,100
15,1.55068,1.472001,71.4629,100
16,1.442519,1.428954,71.8379,100
17,1.3925800000000002,1.411659,72.6795,100
18,1.3707079999999998,1.310409,72.939,100
19,1.256841,1.226713,73.39569999999999,100
20,1.1870180000000001,1.209729,73.4918,100
21,1.1783540000000001,1.239795,73.4046,100
22,1.210257,1.2198479999999998,73.7647,100
23,1.171475,1.100279,74.1339,100
24,1.067782,1.14371,73.8568,100
25,1.11972,1.139306,74.3238,100
26,1.105445,1.051401,74.82770000000001,100
27,1.015287,1.015727,75.0275,100
28,0.980089,1.04425,74.3218,100
29,1.009969,1.099194,74.7013,100
30,1.060595,1.032873,75.05149999999999,100
31,1.006748,1.044147,74.07560000000001,100
32,1.004106,1.078859,74.8189,100
33,1.051499,1.021828,74.7185,100
34,0.998265,1.023833,74.5775,100
35,0.995074,1.062198,74.5429,100
36,1.0308979999999999,1.016206,75.2692,100
37,0.9871469999999999,0.973974,75.2203,100
38,0.938342,0.933665,75.858,100
39,0.8955190000000001,0.9093300000000001,75.75970000000001,100
40,0.876365,0.951588,75.4998,100
41,0.937186,0.958059,75.5064,100
42,0.92914,0.9329080000000001,75.4734,100
43,0.910053,0.9657439999999999,75.1237,100
44,0.934482,0.930758,75.83840000000001,100
45,0.903292,0.874581,75.9154,100
46,0.8623999999999999,0.8578600000000001,76.3306,100
47,0.834981,0.87063,76.0964,100
48,0.853772,0.87934,76.518,100
49,0.851028,0.809948,77.0191,100
50,0.77925,0.798027,76.9704,100
51,0.766068,0.8097679999999999,77.2214,100
52,0.7846500000000001,0.791959,77.04690000000001,100
53,0.7710339999999999,0.819577,76.8665,100
54,0.790723,0.798549,77.2692,100
55,0.7837099999999999,0.7886700000000001,76.96520000000001,100
56,0.767791,0.7976139999999999,76.9888,100
57,0.7649710000000001,0.77763,77.5224,100
58,0.749589,0.740569,77.90010000000001,100
59,0.711152,0.757675,77.461,100
60,0.718308,0.748431,77.8337,100
61,0.713159,0.728895,78.0797,100
62,0.6925060000000001,0.7032550000000001,78.1705,100
63,0.664332,0.6903530000000001,78.5866,100
64,0.651773,0.661529,78.8267,100
65,0.618822,0.6621630000000001,79.1945,100
66,0.632166,0.654422,79.2834,100
67,0.627035,0.6582680000000001,79.1191,100
68,0.6254,0.645304,79.4803,100
