Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/60000]           --                  9.020               2.2945              0
1              [1024/60000]        2.2929              44.0000             2.8216              1              
1              [2048/60000]        2.8527              39.8800             8.0361              2              
1              [3072/60000]        8.4168              28.8000             13.2025             3              
1              [4096/60000]        12.7493             23.1400             9.1374              4              
1              [5120/60000]        9.1456              38.7300             7.1274              5              
1              [6144/60000]        6.8653              29.1800             6.5893              6              
1              [7168/60000]        6.7944              45.6700             5.0187              7              
1              [8192/60000]        5.0613              48.3000             3.4610              8              
1              [9216/60000]        3.4723              58.5100             2.3366              9              
1              [10240/60000]       2.2255              61.9500             1.6510              10             
1              [11264/60000]       1.4985              64.1400             1.1401              11             
1              [12288/60000]       1.1650              66.6900             1.2798              12             
1              [13312/60000]       1.2673              66.8900             1.2302              13             
1              [14336/60000]       1.0979              71.4500             0.8728              14             
1              [15360/60000]       0.8172              73.4400             0.7792              15             
1              [16384/60000]       0.7328              73.2600             0.8734              16             
1              [17408/60000]       0.8814              71.0000             0.8461              17             
1              [18432/60000]       0.8559              72.9100             1.1088              18             
1              [19456/60000]       0.9640              74.8700             0.7366              19             
1              [20480/60000]       0.7514              72.5200             0.8118              20             
1              [21504/60000]       0.7979              73.3700             0.7900              21             
1              [22528/60000]       0.7938              73.2400             1.0254              22             
1              [23552/60000]       1.0863              76.7500             0.7422              23             
1              [24576/60000]       0.7948              73.3500             0.7620              24             
1              [25600/60000]       0.7966              76.9700             0.8205              25             
1              [26624/60000]       0.8871              78.4900             0.6220              26             
1              [27648/60000]       0.5839              77.7900             0.6308              27             
1              [28672/60000]       0.6052              75.3200             0.7431              28             
1              [29696/60000]       0.7403              77.2300             0.7243              29             
1              [30720/60000]       0.6947              75.3400             0.6750              30             
1              [31744/60000]       0.6844              75.7400             0.7817              31             
1              [32768/60000]       0.6776              78.3100             0.6108              32             
1              [33792/60000]       0.5693              75.9800             0.6992              33             
