P%         IPA_Average          STD                  BS                  
0.0        0.029897000          0.007722000          64                  
0.0        0.035171000          0.010418000          1024                
0.1        0.032732000          0.008364000          64                  
0.1        0.038174000          0.011658000          1024                
0.2        0.034399000          0.010258000          64                  
0.2        0.044029000          0.015531000          1024                
0.3        0.042684000          0.014403000          64                  
0.3        0.048032000          0.015044000          1024                
0.4        0.046114000          0.014844000          64                  
0.4        0.049922000          0.016357000          1024                
0.5        0.048932000          0.012623000          64                  
0.5        0.056416000          0.018322000          1024                
0.6        0.056564000          0.014785000          64                  
0.6        0.056903000          0.019837000          1024                
0.7        0.059346000          0.016562000          64                  
0.7        0.061059000          0.019041000          1024                
0.8        0.056227000          0.014480000          64                  
0.8        0.054522000          0.013759000          1024                
0.9        0.046970000          0.008333000          64                  
0.9        0.047156000          0.009559000          1024                
