P%         IPA_Highest          STD                  BS                  
0.0        0.035171000          0.010418000          1024                
0.1        0.038174000          0.011658000          1024                
0.2        0.044029000          0.015531000          1024                
0.3        0.048032000          0.015044000          1024                
0.4        0.049922000          0.016357000          1024                
0.5        0.056416000          0.018322000          1024                
0.6        0.056903000          0.019837000          1024                
0.7        0.061059000          0.019041000          1024                
0.8        0.056227000          0.013759000          64                  
0.9        0.047156000          0.009559000          1024                
