Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/60000]           --                  9.020               2.2883              0
1              [64/60000]          2.2845              23.2800             7.3741              1              
1              [128/60000]         7.8523              35.3500             7.1343              2              
1              [192/60000]         6.8357              16.2700             12.2156             3              
1              [256/60000]         13.6356             21.0700             14.8285             4              
1              [320/60000]         15.5384             27.4300             10.7701             5              
1              [384/60000]         10.2216             23.5000             8.8292              6              
1              [448/60000]         7.7966              23.1000             7.2284              7              
1              [512/60000]         6.2884              28.4000             6.4013              8              
1              [576/60000]         7.2548              59.1500             1.9612              9              
1              [640/60000]         2.3615              71.1400             1.1193              10             
1              [704/60000]         0.7426              69.7100             0.9847              11             
1              [768/60000]         0.7626              64.0600             1.1081              12             
1              [832/60000]         1.1266              65.6800             1.2218              13             
1              [896/60000]         1.1942              69.5200             0.9726              14             
1              [960/60000]         0.8132              70.1100             0.9800              15             
1              [1024/60000]        0.9928              71.6000             0.7979              16             
1              [1088/60000]        0.9548              74.8400             1.0053              17             
1              [1152/60000]        0.8559              70.8600             0.9994              18             
1              [1216/60000]        1.0605              64.4800             1.6387              19             
1              [1280/60000]        1.4270              65.2500             1.1892              20             
1              [1344/60000]        1.1689              71.7300             0.9670              21             
1              [1408/60000]        0.7968              72.3500             0.8668              22             
1              [1472/60000]        1.0157              69.4000             1.2083              23             
1              [1536/60000]        1.1119              67.8500             1.1154              24             
1              [1600/60000]        1.0910              68.5100             1.0540              25             
1              [1664/60000]        1.3528              72.2000             0.8595              26             
1              [1728/60000]        0.7299              75.5200             0.6870              27             
1              [1792/60000]        0.8589              62.9200             1.2774              28             
1              [1856/60000]        1.3690              67.1800             1.1144              29             
1              [1920/60000]        0.8075              76.2800             0.7589              30             
1              [1984/60000]        0.5457              75.0600             0.7177              31             
1              [2048/60000]        0.6214              70.9300             0.8756              32             
1              [2112/60000]        0.6037              68.2800             1.0099              33             
1              [2176/60000]        0.9714              73.6100             0.7499              34             
1              [2240/60000]        0.6399              78.9900             0.5848              35             
1              [2304/60000]        0.6116              75.2700             0.6627              36             
1              [2368/60000]        0.5226              76.8700             0.8492              37             
1              [2432/60000]        1.1905              66.2300             1.0881              38             
1              [2496/60000]        0.7428              74.0600             0.7842              39             
1              [2560/60000]        0.8248              61.7700             1.2045              40             
1              [2624/60000]        1.0872              56.9900             1.6588              41             
1              [2688/60000]        1.4432              68.7300             1.2315              42             
1              [2752/60000]        1.4362              70.3300             0.9708              43             
1              [2816/60000]        1.2540              76.3000             0.8657              44             
1              [2880/60000]        0.8118              71.6500             0.8835              45             
1              [2944/60000]        1.1009              69.8600             1.0647              46             
1              [3008/60000]        1.0618              75.7100             0.7212              47             
1              [3072/60000]        0.6645              75.0800             0.7424              48             
1              [3136/60000]        0.4361              80.2600             0.5633              49             
1              [3200/60000]        0.5889              75.9000             0.6491              50             
1              [3264/60000]        0.7897              75.9500             0.7665              51             
1              [3328/60000]        0.7226              76.0500             0.7257              52             
1              [3392/60000]        0.7340              74.7400             0.6977              53             
1              [3456/60000]        0.5138              78.5000             0.6095              54             
1              [3520/60000]        0.6252              79.9600             0.5641              55             
1              [3584/60000]        0.5374              78.4200             0.6198              56             
1              [3648/60000]        0.4815              80.1100             0.5577              57             
1              [3712/60000]        0.3557              75.7400             0.6557              58             
1              [3776/60000]        0.7412              76.2200             0.7568              59             
1              [3840/60000]        0.6580              74.6800             0.8039              60             
1              [3904/60000]        0.8669              74.8000             0.7495              61             
1              [3968/60000]        0.8538              71.5700             0.8266              62             
1              [4032/60000]        1.2208              74.5500             0.8312              63             
1              [4096/60000]        1.0275              75.6900             0.7744              64             
1              [4160/60000]        0.9638              73.8200             0.7791              65             
1              [4224/60000]        0.5348              77.2900             0.6215              66             
1              [4288/60000]        0.6761              76.6400             0.6758              67             
1              [4352/60000]        0.6426              69.1400             1.0505              68             
1              [4416/60000]        0.6967              76.6200             0.6418              69             
1              [4480/60000]        0.5828              77.7700             0.6483              70             
1              [4544/60000]        0.4152              82.2200             0.5148              71             
1              [4608/60000]        0.5333              81.0300             0.5487              72             
1              [4672/60000]        0.8901              71.2400             0.8566              73             
1              [4736/60000]        0.6014              79.9100             0.6015              74             
1              [4800/60000]        0.6624              77.7600             0.5952              75             
1              [4864/60000]        0.3564              82.3500             0.5084              76             
1              [4928/60000]        0.5503              78.5300             0.6184              77             
1              [4992/60000]        0.6561              75.3500             0.7601              78             
1              [5056/60000]        1.2403              73.6500             0.8536              79             
1              [5120/60000]        0.8452              79.7800             0.5904              80             
1              [5184/60000]        0.4700              81.3600             0.5237              81             
1              [5248/60000]        0.5687              80.6700             0.5586              82             
1              [5312/60000]        0.5855              76.7800             0.6274              83             
1              [5376/60000]        0.5997              82.4100             0.5152              84             
1              [5440/60000]        0.4511              78.0400             0.5826              85             
1              [5504/60000]        0.4717              79.1800             0.6206              86             
1              [5568/60000]        0.4310              80.7200             0.5591              87             
1              [5632/60000]        0.4730              79.6300             0.5575              88             
1              [5696/60000]        0.5561              80.5600             0.5476              89             
1              [5760/60000]        0.5350              80.7000             0.5820              90             
1              [5824/60000]        0.4674              80.9800             0.5459              91             
1              [5888/60000]        0.5872              79.2200             0.5830              92             
1              [5952/60000]        0.7393              76.8800             0.6409              93             
1              [6016/60000]        0.4463              81.8700             0.5197              94             
1              [6080/60000]        0.6723              75.0100             0.7428              95             
1              [6144/60000]        0.6882              73.3200             0.7538              96             
1              [6208/60000]        0.5475              80.5800             0.5399              97             
1              [6272/60000]        0.4970              81.1500             0.5441              98             
1              [6336/60000]        0.4821              78.2800             0.6448              99             
1              [6400/60000]        0.5316              79.6900             0.5777              100            
1              [6464/60000]        0.5466              80.9600             0.5396              101            
1              [6528/60000]        0.5464              80.5200             0.5487              102            
1              [6592/60000]        0.6112              81.0500             0.5455              103            
1              [6656/60000]        0.7840              76.5900             0.6816              104            
1              [6720/60000]        0.9064              73.7300             0.6603              105            
1              [6784/60000]        0.5328              81.1900             0.5356              106            
1              [6848/60000]        0.6436              82.9300             0.4776              107            
1              [6912/60000]        0.3993              83.0100             0.4812              108            
1              [6976/60000]        0.5291              77.2500             0.5892              109            
1              [7040/60000]        0.5801              81.0100             0.5399              110            
1              [7104/60000]        0.4310              81.7200             0.5080              111            
1              [7168/60000]        0.5728              81.1400             0.5190              112            
1              [7232/60000]        0.4398              80.2700             0.5439              113            
1              [7296/60000]        0.4682              79.4000             0.5551              114            
1              [7360/60000]        0.5434              79.2700             0.6210              115            
1              [7424/60000]        0.5609              81.5800             0.4879              116            
1              [7488/60000]        0.5479              81.9400             0.5107              117            
1              [7552/60000]        0.5790              81.4900             0.5178              118            
1              [7616/60000]        0.4297              80.7000             0.5292              119            
1              [7680/60000]        0.4191              81.5900             0.5145              120            
1              [7744/60000]        0.8013              78.9500             0.5906              121            
1              [7808/60000]        0.6465              73.2400             0.6884              122            
1              [7872/60000]        0.7994              78.3700             0.6865              123            
1              [7936/60000]        0.8545              81.3000             0.5010              124            
1              [8000/60000]        0.6351              82.5600             0.4947              125            
1              [8064/60000]        0.4947              82.5100             0.4873              126            
1              [8128/60000]        0.4474              82.6500             0.4996              127            
1              [8192/60000]        0.5355              78.8300             0.5698              128            
1              [8256/60000]        0.7473              78.3200             0.6205              129            
1              [8320/60000]        0.6206              83.4500             0.4841              130            
1              [8384/60000]        0.2567              81.7100             0.5200              131            
1              [8448/60000]        0.4745              82.1600             0.5037              132            
1              [8512/60000]        0.6211              84.1200             0.4615              133            
1              [8576/60000]        0.6127              79.8300             0.5617              134            
1              [8640/60000]        0.6212              82.4300             0.5072              135            
1              [8704/60000]        0.3078              82.9700             0.4930              136            
1              [8768/60000]        0.3374              83.7800             0.4614              137            
1              [8832/60000]        0.6504              82.2800             0.4966              138            
1              [8896/60000]        0.5282              79.7600             0.5633              139            
1              [8960/60000]        0.7183              81.8500             0.5129              140            
1              [9024/60000]        0.5534              83.1800             0.4815              141            
