Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/50000]           --                  9.020               2.2925              0
1              [50000/50000]       2.2942              22.0400             2.1892              1              
2              [50000/50000]       2.1922              25.8300             2.1271              2              
3              [50000/50000]       2.1305              27.9200             2.0843              3              
4              [50000/50000]       2.0866              29.6600             2.0508              4              
5              [50000/50000]       2.0530              30.9000             2.0254              5              
6              [50000/50000]       2.0265              31.5100             2.0038              6              
7              [50000/50000]       2.0050              32.2900             1.9877              7              
8              [50000/50000]       1.9876              32.8200             1.9727              8              
9              [50000/50000]       1.9732              33.3200             1.9620              9              
10             [50000/50000]       1.9609              33.5400             1.9504              10             
11             [50000/50000]       1.9504              33.9700             1.9428              11             
12             [50000/50000]       1.9411              33.9400             1.9335              12             
13             [50000/50000]       1.9330              34.4100             1.9281              13             
14             [50000/50000]       1.9258              34.3200             1.9203              14             
15             [50000/50000]       1.9195              34.5800             1.9166              15             
16             [50000/50000]       1.9139              34.4200             1.9099              16             
17             [50000/50000]       1.9089              34.5500             1.9074              17             
18             [50000/50000]       1.9043              34.6000             1.9014              18             
19             [50000/50000]       1.9002              34.5600             1.8997              19             
20             [50000/50000]       1.8963              34.7400             1.8942              20             
21             [50000/50000]       1.8928              34.9900             1.8931              21             
22             [50000/50000]       1.8895              35.0300             1.8880              22             
23             [50000/50000]       1.8865              35.2700             1.8874              23             
24             [50000/50000]       1.8836              35.1600             1.8827              24             
25             [50000/50000]       1.8810              35.4200             1.8826              25             
26             [50000/50000]       1.8787              35.0100             1.8784              26             
27             [50000/50000]       1.8765              35.3200             1.8787              27             
28             [50000/50000]       1.8747              34.8600             1.8751              28             
29             [50000/50000]       1.8729              35.2900             1.8758              29             
30             [50000/50000]       1.8718              34.7300             1.8729              30             
31             [50000/50000]       1.8704              35.1100             1.8738              31             
32             [50000/50000]       1.8698              34.6100             1.8710              32             
33             [50000/50000]       1.8684              35.0700             1.8723              33             
34             [50000/50000]       1.8680              34.6500             1.8693              34             
35             [50000/50000]       1.8666              35.0500             1.8710              35             
36             [50000/50000]       1.8664              34.7000             1.8677              36             
37             [50000/50000]       1.8651              35.0900             1.8701              37             
38             [50000/50000]       1.8651              34.4900             1.8662              38             
39             [50000/50000]       1.8638              34.9400             1.8693              39             
40             [50000/50000]       1.8639              34.5300             1.8649              40             
41             [50000/50000]       1.8626              34.8700             1.8687              41             
42             [50000/50000]       1.8629              34.5700             1.8637              42             
43             [50000/50000]       1.8616              34.8600             1.8681              43             
44             [50000/50000]       1.8619              34.5600             1.8626              44             
45             [50000/50000]       1.8606              34.7900             1.8676              45             
46             [50000/50000]       1.8611              34.5900             1.8617              46             
47             [50000/50000]       1.8597              34.8400             1.8671              47             
48             [50000/50000]       1.8602              34.6700             1.8608              48             
49             [50000/50000]       1.8588              34.7900             1.8666              49             
50             [50000/50000]       1.8595              34.7100             1.8600              50             
51             [50000/50000]       1.8580              34.8200             1.8661              51             
