Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/50000]           --                  9.020               2.3691              0
1              [64/50000]          2.3949              15.6400             2.2680              1              
1              [128/50000]         2.2547              21.9200             2.2182              2              
1              [192/50000]         2.1828              22.6800             2.2014              3              
1              [256/50000]         2.2406              21.6100             2.2624              4              
1              [320/50000]         2.1919              24.8900             2.1247              5              
1              [384/50000]         2.1147              26.7700             2.0899              6              
1              [448/50000]         2.0244              26.8300             2.0869              7              
1              [512/50000]         2.0602              25.5700             2.1724              8              
1              [576/50000]         2.2290              26.7000             2.0733              9              
1              [640/50000]         2.0117              25.6200             2.1234              10             
1              [704/50000]         1.9846              23.8600             2.1180              11             
1              [768/50000]         2.0766              28.4700             2.0524              12             
1              [832/50000]         1.9692              28.5000             2.0543              13             
1              [896/50000]         2.2166              27.8100             2.0745              14             
1              [960/50000]         2.1586              27.8000             2.0911              15             
1              [1024/50000]        2.5948              25.9700             2.1058              16             
1              [1088/50000]        2.2095              28.2300             2.0272              17             
1              [1152/50000]        1.9829              30.6200             2.0227              18             
1              [1216/50000]        2.0773              28.9000             2.0308              19             
1              [1280/50000]        1.9745              29.3500             2.0289              20             
1              [1344/50000]        2.0007              28.2900             2.0617              21             
1              [1408/50000]        2.2685              29.3600             2.0390              22             
1              [1472/50000]        1.9966              30.0600             2.0280              23             
1              [1536/50000]        2.3324              28.4200             2.0153              24             
1              [1600/50000]        2.1608              29.3100             1.9861              25             
1              [1664/50000]        1.9781              31.1000             1.9556              26             
1              [1728/50000]        2.1403              29.1500             2.0377              27             
1              [1792/50000]        2.0953              29.5400             2.0067              28             
1              [1856/50000]        1.9874              30.8300             2.0079              29             
1              [1920/50000]        2.1588              31.6000             1.9521              30             
1              [1984/50000]        1.9372              32.2100             1.9336              31             
1              [2048/50000]        1.9486              29.5300             2.0352              32             
1              [2112/50000]        2.0599              28.9300             2.0370              33             
1              [2176/50000]        2.0970              30.3800             1.9928              34             
1              [2240/50000]        1.7311              30.1300             2.0272              35             
1              [2304/50000]        2.0484              29.5500             2.1338              36             
1              [2368/50000]        2.2501              31.8700             1.9819              37             
1              [2432/50000]        1.9684              30.7900             1.9848              38             
1              [2496/50000]        2.2027              31.6400             2.0022              39             
1              [2560/50000]        2.1876              28.8900             2.0376              40             
1              [2624/50000]        1.8465              32.2000             1.9882              41             
1              [2688/50000]        2.1074              28.5700             2.0223              42             
1              [2752/50000]        1.9831              33.4400             1.9312              43             
1              [2816/50000]        1.8219              30.8600             2.0327              44             
1              [2880/50000]        1.9070              32.1900             1.9778              45             
1              [2944/50000]        1.9747              31.0500             1.9850              46             
1              [3008/50000]        2.0707              32.2300             1.9592              47             
1              [3072/50000]        1.9378              31.2000             1.9960              48             
1              [3136/50000]        2.2234              31.4000             2.0229              49             
1              [3200/50000]        1.9928              33.5800             1.9479              50             
1              [3264/50000]        1.8012              32.3500             1.9872              51             
1              [3328/50000]        1.7736              32.5100             1.9890              52             
1              [3392/50000]        1.8893              31.8100             1.9750              53             
1              [3456/50000]        1.8541              32.0000             1.9868              54             
1              [3520/50000]        2.0114              33.8000             1.9268              55             
1              [3584/50000]        1.9689              31.3100             2.0064              56             
1              [3648/50000]        1.8939              30.7100             2.0339              57             
1              [3712/50000]        1.9951              31.2000             2.0569              58             
1              [3776/50000]        2.3411              30.9100             2.0063              59             
1              [3840/50000]        2.2499              32.2900             1.9657              60             
1              [3904/50000]        1.9173              32.1700             1.9361              61             
1              [3968/50000]        1.9723              32.6600             1.9552              62             
1              [4032/50000]        1.8733              34.6700             1.9089              63             
1              [4096/50000]        1.9799              33.3500             1.9685              64             
1              [4160/50000]        1.9325              33.8600             1.9241              65             
1              [4224/50000]        1.7209              32.8800             1.9544              66             
1              [4288/50000]        1.7891              33.1800             1.9578              67             
1              [4352/50000]        1.7377              31.9600             1.9934              68             
1              [4416/50000]        2.0099              32.4500             1.9381              69             
1              [4480/50000]        2.1308              29.6400             2.0896              70             
1              [4544/50000]        2.2355              28.3900             2.0958              71             
1              [4608/50000]        2.0541              32.1700             1.9393              72             
1              [4672/50000]        2.1868              33.3000             1.9028              73             
1              [4736/50000]        2.0081              29.0200             2.0124              74             
1              [4800/50000]        1.8483              33.0300             1.9321              75             
1              [4864/50000]        2.1096              32.1200             1.9745              76             
1              [4928/50000]        2.2841              32.2500             1.9378              77             
1              [4992/50000]        2.0878              32.5000             1.9385              78             
1              [5056/50000]        1.9092              32.2700             1.9213              79             
1              [5120/50000]        1.8462              31.9300             1.9727              80             
1              [5184/50000]        1.9383              32.5800             1.9737              81             
1              [5248/50000]        1.6390              33.5900             1.9537              82             
1              [5312/50000]        2.0126              31.8200             2.0000              83             
1              [5376/50000]        2.0225              33.3800             1.9378              84             
1              [5440/50000]        2.0059              32.5100             1.9408              85             
1              [5504/50000]        2.1516              32.6400             2.0050              86             
1              [5568/50000]        1.7749              33.1500             1.9540              87             
1              [5632/50000]        1.8414              34.1300             1.9131              88             
1              [5696/50000]        2.0461              31.9900             1.9573              89             
1              [5760/50000]        1.9396              31.6400             1.9929              90             
1              [5824/50000]        2.0776              34.0800             1.9163              91             
1              [5888/50000]        1.9022              33.1000             1.9341              92             
1              [5952/50000]        1.8533              34.3700             1.9137              93             
1              [6016/50000]        1.9998              35.6100             1.8992              94             
1              [6080/50000]        1.9150              31.7600             1.9609              95             
1              [6144/50000]        1.9503              31.6700             1.9290              96             
1              [6208/50000]        1.9203              32.1700             1.9179              97             
1              [6272/50000]        1.9529              34.0500             1.8844              98             
1              [6336/50000]        1.8792              30.2900             1.9964              99             
1              [6400/50000]        1.8263              31.2400             1.9589              100            
1              [6464/50000]        1.9252              33.8600             1.9141              101            
1              [6528/50000]        2.0638              32.7200             1.9219              102            
1              [6592/50000]        1.8992              31.4800             2.0079              103            
1              [6656/50000]        1.9600              31.8500             1.9589              104            
1              [6720/50000]        2.0455              34.4900             1.8922              105            
1              [6784/50000]        2.2347              33.6700             1.9211              106            
1              [6848/50000]        1.8122              30.3700             2.0021              107            
1              [6912/50000]        2.0306              33.1600             1.9190              108            
1              [6976/50000]        2.0391              33.1000             1.9053              109            
1              [7040/50000]        1.7709              31.3600             1.9764              110            
1              [7104/50000]        1.9322              33.6300             1.9133              111            
1              [7168/50000]        1.7092              31.6200             1.9618              112            
1              [7232/50000]        2.0876              33.5600             1.9180              113            
1              [7296/50000]        1.9984              33.4900             1.9130              114            
1              [7360/50000]        1.9686              34.0400             1.9028              115            
1              [7424/50000]        1.8399              34.2800             1.8954              116            
1              [7488/50000]        1.7223              33.2600             1.9342              117            
1              [7552/50000]        1.7142              34.2400             1.9362              118            
1              [7616/50000]        1.7647              33.0700             1.9567              119            
1              [7680/50000]        1.7661              33.7900             1.9274              120            
1              [7744/50000]        1.9828              34.5100             1.9004              121            
1              [7808/50000]        2.0339              33.8600             1.8986              122            
1              [7872/50000]        2.0348              32.1400             1.9815              123            
1              [7936/50000]        2.1352              33.2100             1.9163              124            
1              [8000/50000]        2.0851              33.9300             1.9376              125            
1              [8064/50000]        1.9028              32.4200             1.9514              126            
1              [8128/50000]        2.0411              32.4500             1.9506              127            
1              [8192/50000]        2.0134              33.5500             1.9158              128            
1              [8256/50000]        1.5971              34.4600             1.9398              129            
1              [8320/50000]        1.9166              35.8700             1.8643              130            
1              [8384/50000]        1.8437              35.2100             1.8794              131            
1              [8448/50000]        1.7859              35.6300             1.8978              132            
1              [8512/50000]        1.9836              34.4400             1.8848              133            
1              [8576/50000]        1.9428              33.2800             1.9125              134            
1              [8640/50000]        1.7038              35.2000             1.8825              135            
1              [8704/50000]        1.9674              33.3300             1.9152              136            
1              [8768/50000]        1.9153              31.9100             2.0182              137            
1              [8832/50000]        1.9125              34.6300             1.9331              138            
1              [8896/50000]        2.0170              33.2300             2.0240              139            
1              [8960/50000]        1.9275              33.8000             1.9381              140            
1              [9024/50000]        1.9561              35.5900             1.8746              141            
1              [9088/50000]        2.0754              34.0000             1.9085              142            
1              [9152/50000]        1.9912              35.4000             1.8812              143            
1              [9216/50000]        1.8779              35.3600             1.8790              144            
1              [9280/50000]        2.1497              32.3100             1.9694              145            
1              [9344/50000]        1.7886              33.0800             1.9515              146            
1              [9408/50000]        1.8059              33.8200             1.9533              147            
1              [9472/50000]        1.9718              33.6400             1.9814              148            
1              [9536/50000]        1.9019              33.0500             1.9576              149            
1              [9600/50000]        1.7043              34.9600             1.9295              150            
1              [9664/50000]        2.0023              35.6400             1.9238              151            
1              [9728/50000]        2.1345              33.8600             1.9387              152            
1              [9792/50000]        1.9781              33.8000             1.9241              153            
1              [9856/50000]        1.9102              31.7600             1.9910              154            
1              [9920/50000]        2.0805              32.5300             1.9518              155            
1              [9984/50000]        1.9237              35.5600             1.8954              156            
1              [10048/50000]       1.8521              33.4900             1.9685              157            
1              [10112/50000]       2.4016              32.0400             1.9497              158            
1              [10176/50000]       1.9000              34.0600             1.9112              159            
1              [10240/50000]       1.8288              35.5300             1.8834              160            
1              [10304/50000]       2.2140              31.5400             1.9539              161            
1              [10368/50000]       1.8429              33.0200             1.9203              162            
1              [10432/50000]       2.0433              31.0700             1.9458              163            
1              [10496/50000]       1.9470              30.5600             1.9622              164            
1              [10560/50000]       1.9521              32.8400             1.9086              165            
