Pruning_Percentage,Batch_Size,CE_Train_Asymptote,CE_Test_Asymptote
0,1024,0.39762265088759174,0.4897900580393274
10,1024,0.5010451802242972,0.5636813630985831
20,1024,0.40496557773129904,0.5027550000000002
30,1024,0.4537150000000001,0.5040387500000001
40,1024,0.45643749999999994,0.5028633333333333
50,1024,0.35894470899779396,0.4244723037733329
60,1024,0.45018259780950565,0.48594874650452324
70,1024,0.44395581486126945,0.4886819442167071
80,1024,0.47649322302772656,0.5598631591100856
90,1024,0.5178812435688406,0.5730077885051338
100,1024,2.3,2.3
