Pruning_Percentage,Batch_Size,CE_Train_Asymptote,CE_Test_Asymptote
0,64,0.378578168274057,0.5271650000000001
10,64,0.5261466878547438,0.5387850000000001
20,64,0.38216070393027746,0.4736071810208623
30,64,0.4614511111111109,0.5388030600038431
40,64,0.5455007950737949,0.44764254711779017
50,64,0.4660810000000001,0.47390763091656607
60,64,0.458465,0.537047519030444
70,64,0.3881525151380556,0.5119597341269398
80,64,0.376052648670287,0.4662999728449714
90,64,0.520812127922259,0.5229923588864951
100,64,2.3,2.3
