Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/60000]           --                  9.020               2.4124              0
1              [60000/60000]       2.4184              38.2300             1.8438              1              
2              [60000/60000]       1.8458              52.5600             1.5164              2              
3              [60000/60000]       1.5173              58.3600             1.3382              3              
4              [60000/60000]       1.3350              64.3200             1.2146              4              
5              [60000/60000]       1.2122              60.8600             1.1474              5              
6              [60000/60000]       1.1398              67.5100             1.1037              6              
7              [60000/60000]       1.0995              65.4400             1.0162              7              
8              [60000/60000]       1.0084              64.5900             1.0398              8              
9              [60000/60000]       1.0340              64.5800             1.0126              9              
10             [60000/60000]       1.0026              64.3100             1.0022              10             
11             [60000/60000]       0.9959              65.6500             0.9929              11             
12             [60000/60000]       0.9807              66.8100             0.9435              12             
13             [60000/60000]       0.9359              67.5300             0.9444              13             
14             [60000/60000]       0.9308              69.4300             0.8988              14             
15             [60000/60000]       0.8903              69.5600             0.8923              15             
16             [60000/60000]       0.8780              71.2500             0.8569              16             
17             [60000/60000]       0.8473              71.0100             0.8539              17             
18             [60000/60000]       0.8389              72.3000             0.8275              18             
19             [60000/60000]       0.8172              72.1500             0.8188              19             
20             [60000/60000]       0.8033              73.0300             0.8040              20             
21             [60000/60000]       0.7930              72.9700             0.7920              21             
22             [60000/60000]       0.7759              73.3700             0.7865              22             
23             [60000/60000]       0.7749              73.8000             0.7701              23             
24             [60000/60000]       0.7535              73.7900             0.7720              24             
25             [60000/60000]       0.7598              74.2800             0.7521              25             
26             [60000/60000]       0.7349              74.2900             0.7599              26             
27             [60000/60000]       0.7471              74.8200             0.7361              27             
28             [60000/60000]       0.7182              74.9100             0.7495              28             
29             [60000/60000]       0.7362              75.0800             0.7213              29             
30             [60000/60000]       0.7027              75.3400             0.7410              30             
31             [60000/60000]       0.7272              75.2500             0.7068              31             
32             [60000/60000]       0.6876              75.7300             0.7349              32             
33             [60000/60000]       0.7206              75.3600             0.6921              33             
34             [60000/60000]       0.6723              76.0100             0.7333              34             
35             [60000/60000]       0.7185              74.8500             0.6792              35             
36             [60000/60000]       0.6589              76.4800             0.7397              36             
37             [60000/60000]       0.7242              74.6400             0.6780              37             
38             [60000/60000]       0.6572              76.5400             0.7394              38             
39             [60000/60000]       0.7232              73.7100             0.7014              39             
