P%         IPA_Average          STD                  BS                  
0.0        0.069222000          0.012306000          64                  
0.0        0.078944000          0.015096000          1024                
0.0        0.085452000          0.010362000          60000               
0.1        0.070381000          0.011656000          64                  
0.1        0.072439000          0.011330000          1024                
0.1        0.080683000          0.010734000          60000               
0.2        0.061719000          0.008727000          64                  
0.2        0.070484000          0.010998000          1024                
0.2        0.074579000          0.006570000          60000               
0.3        0.056817000          0.006705000          64                  
0.3        0.062027000          0.008215000          1024                
0.3        0.070203000          0.006305000          60000               
0.4        0.049837000          0.005604000          64                  
0.4        0.057856000          0.006668000          1024                
0.4        0.062772000          0.005219000          60000               
0.5        0.042481000          0.003890000          64                  
0.5        0.051330000          0.005267000          1024                
0.5        0.056914000          0.003868000          60000               
0.6        0.035500000          0.002981000          64                  
0.6        0.042687000          0.003050000          1024                
0.6        0.048985000          0.003791000          60000               
0.7        0.028772000          0.002215000          64                  
0.7        0.034166000          0.001734000          1024                
0.7        0.039869000          0.001950000          60000               
0.8        0.021559000          0.001421000          64                  
0.8        0.025892000          0.000935000          1024                
0.8        0.029450000          0.001403000          60000               
0.9        0.013478000          0.000908000          64                  
0.9        0.016887000          0.000720000          1024                
0.9        0.018470000          0.000659000          60000               
