P%         IPA_Highest          STD                  BS                  
0.0        0.085452000          0.010362000          60000               
0.1        0.080683000          0.010734000          60000               
0.2        0.074579000          0.006570000          60000               
0.3        0.070203000          0.006305000          60000               
0.4        0.062772000          0.005219000          60000               
0.5        0.056914000          0.003868000          60000               
0.6        0.048985000          0.003791000          60000               
0.7        0.039869000          0.001950000          60000               
0.8        0.029450000          0.001403000          60000               
0.9        0.018470000          0.000659000          60000               
