Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/60000]           --                  9.020               2.4503              0
1              [60000/60000]       2.4527              21.3300             1.9675              1              
2              [60000/60000]       1.9692              44.0600             1.6867              2              
3              [60000/60000]       1.6815              44.9600             1.5174              3              
4              [60000/60000]       1.5156              56.3600             1.3902              4              
5              [60000/60000]       1.3804              54.5100             1.2362              5              
6              [60000/60000]       1.2298              57.6900             1.2093              6              
7              [60000/60000]       1.1977              56.2400             1.1680              7              
8              [60000/60000]       1.1601              60.8000             1.1184              8              
9              [60000/60000]       1.1051              59.7100             1.1080              9              
10             [60000/60000]       1.0981              63.7900             1.0435              10             
11             [60000/60000]       1.0291              62.8600             1.0380              11             
12             [60000/60000]       1.0264              66.3000             0.9812              12             
13             [60000/60000]       0.9653              65.2300             0.9765              13             
14             [60000/60000]       0.9636              68.1000             0.9314              14             
15             [60000/60000]       0.9144              67.0000             0.9281              15             
16             [60000/60000]       0.9140              69.6500             0.8908              16             
17             [60000/60000]       0.8731              68.2100             0.8873              17             
18             [60000/60000]       0.8724              70.6400             0.8592              18             
19             [60000/60000]       0.8408              69.1300             0.8548              19             
20             [60000/60000]       0.8393              70.9100             0.8371              20             
21             [60000/60000]       0.8179              69.6000             0.8309              21             
22             [60000/60000]       0.8154              70.8600             0.8267              22             
23             [60000/60000]       0.8065              70.0500             0.8163              23             
24             [60000/60000]       0.8011              70.8500             0.8200              24             
25             [60000/60000]       0.7990              70.8600             0.7995              25             
26             [60000/60000]       0.7845              71.4900             0.8041              26             
27             [60000/60000]       0.7826              71.6000             0.7807              27             
28             [60000/60000]       0.7655              72.0900             0.7853              28             
29             [60000/60000]       0.7633              72.2600             0.7648              29             
30             [60000/60000]       0.7494              72.6400             0.7684              30             
31             [60000/60000]       0.7459              72.7900             0.7511              31             
32             [60000/60000]       0.7356              73.1500             0.7544              32             
33             [60000/60000]       0.7315              73.1700             0.7398              33             
34             [60000/60000]       0.7241              73.4000             0.7425              34             
35             [60000/60000]       0.7191              73.5400             0.7301              35             
36             [60000/60000]       0.7142              73.6700             0.7323              36             
37             [60000/60000]       0.7085              73.8000             0.7218              37             
38             [60000/60000]       0.7057              73.9400             0.7234              38             
39             [60000/60000]       0.6991              73.9700             0.7145              39             
40             [60000/60000]       0.6981              74.2500             0.7155              40             
41             [60000/60000]       0.6909              74.3200             0.7081              41             
42             [60000/60000]       0.6915              74.4900             0.7086              42             
43             [60000/60000]       0.6836              74.6600             0.7027              43             
44             [60000/60000]       0.6859              74.6400             0.7027              44             
45             [60000/60000]       0.6773              74.9000             0.6992              45             
46             [60000/60000]       0.6819              74.7300             0.6985              46             
47             [60000/60000]       0.6728              74.7900             0.7005              47             
48             [60000/60000]       0.6825              74.7100             0.6986              48             
49             [60000/60000]       0.6727              74.6600             0.7066              49             
50             [60000/60000]       0.6878              74.6700             0.6987              50             
51             [60000/60000]       0.6724              74.7400             0.7087              51             
52             [60000/60000]       0.6898              74.6900             0.6958              52             
53             [60000/60000]       0.6691              74.7100             0.7095              53             
54             [60000/60000]       0.6906              74.8100             0.6922              54             
55             [60000/60000]       0.6650              74.8700             0.7114              55             
56             [60000/60000]       0.6925              74.5100             0.6917              56             
57             [60000/60000]       0.6641              75.1200             0.7131              57             
58             [60000/60000]       0.6941              73.9800             0.6986              58             
59             [60000/60000]       0.6705              74.7700             0.7137              59             
60             [60000/60000]       0.6946              73.4100             0.7127              60             
61             [60000/60000]       0.6840              74.4700             0.7150              61             
62             [60000/60000]       0.6955              73.2700             0.7206              62             
63             [60000/60000]       0.6913              74.7300             0.7116              63             
64             [60000/60000]       0.6918              73.4400             0.7169              64             
65             [60000/60000]       0.6870              75.0000             0.7056              65             
66             [60000/60000]       0.6854              73.8200             0.7097              66             
67             [60000/60000]       0.6793              75.2000             0.6995              67             
68             [60000/60000]       0.6789              74.0800             0.7026              68             
69             [60000/60000]       0.6718              75.3700             0.6940              69             
70             [60000/60000]       0.6730              74.3200             0.6962              70             
71             [60000/60000]       0.6651              75.6200             0.6890              71             
72             [60000/60000]       0.6677              74.6000             0.6906              72             
73             [60000/60000]       0.6592              75.7300             0.6846              73             
74             [60000/60000]       0.6630              74.7300             0.6857              74             
75             [60000/60000]       0.6540              75.8100             0.6806              75             
76             [60000/60000]       0.6587              74.8400             0.6816              76             
77             [60000/60000]       0.6496              75.9600             0.6772              77             
78             [60000/60000]       0.6550              74.9800             0.6780              78             
79             [60000/60000]       0.6457              76.1700             0.6741              79             
80             [60000/60000]       0.6517              75.1000             0.6750              80             
81             [60000/60000]       0.6424              76.2100             0.6715              81             
82             [60000/60000]       0.6488              75.2300             0.6724              82             
83             [60000/60000]       0.6395              76.2700             0.6692              83             
84             [60000/60000]       0.6462              75.3600             0.6703              84             
85             [60000/60000]       0.6371              76.3500             0.6672              85             
86             [60000/60000]       0.6440              75.4700             0.6684              86             
87             [60000/60000]       0.6349              76.4600             0.6654              87             
88             [60000/60000]       0.6419              75.6000             0.6668              88             
89             [60000/60000]       0.6330              76.5700             0.6638              89             
90             [60000/60000]       0.6401              75.6700             0.6654              90             
91             [60000/60000]       0.6313              76.5600             0.6624              91             
92             [60000/60000]       0.6385              75.7400             0.6641              92             
93             [60000/60000]       0.6298              76.6200             0.6611              93             
94             [60000/60000]       0.6370              75.8100             0.6630              94             
95             [60000/60000]       0.6283              76.6700             0.6599              95             
96             [60000/60000]       0.6355              75.8400             0.6619              96             
97             [60000/60000]       0.6270              76.7300             0.6588              97             
98             [60000/60000]       0.6342              75.8800             0.6609              98             
99             [60000/60000]       0.6257              76.8000             0.6577              99             
100            [60000/60000]       0.6329              75.9400             0.6599              100            
101            [60000/60000]       0.6244              76.8500             0.6567              101            
102            [60000/60000]       0.6317              76.0400             0.6590              102            
103            [60000/60000]       0.6232              76.8800             0.6557              103            
104            [60000/60000]       0.6305              76.0800             0.6581              104            
105            [60000/60000]       0.6221              76.9400             0.6548              105            
106            [60000/60000]       0.6294              76.1500             0.6573              106            
107            [60000/60000]       0.6210              77.0000             0.6540              107            
108            [60000/60000]       0.6284              76.2000             0.6565              108            
109            [60000/60000]       0.6200              77.0700             0.6532              109            
110            [60000/60000]       0.6274              76.2200             0.6558              110            
111            [60000/60000]       0.6190              77.1000             0.6525              111            
112            [60000/60000]       0.6265              76.2600             0.6551              112            
113            [60000/60000]       0.6181              77.2200             0.6519              113            
114            [60000/60000]       0.6257              76.3300             0.6545              114            
115            [60000/60000]       0.6173              77.2700             0.6513              115            
116            [60000/60000]       0.6249              76.3800             0.6540              116            
117            [60000/60000]       0.6165              77.3300             0.6508              117            
118            [60000/60000]       0.6242              76.4300             0.6535              118            
119            [60000/60000]       0.6158              77.3400             0.6503              119            
120            [60000/60000]       0.6235              76.4600             0.6531              120            
121            [60000/60000]       0.6152              77.3600             0.6499              121            
122            [60000/60000]       0.6229              76.4500             0.6527              122            
123            [60000/60000]       0.6146              77.3900             0.6495              123            
124            [60000/60000]       0.6224              76.4800             0.6524              124            
125            [60000/60000]       0.6140              77.4300             0.6492              125            
126            [60000/60000]       0.6219              76.4900             0.6521              126            
127            [60000/60000]       0.6135              77.4400             0.6489              127            
128            [60000/60000]       0.6214              76.5000             0.6519              128            
129            [60000/60000]       0.6131              77.5300             0.6487              129            
130            [60000/60000]       0.6210              76.5400             0.6517              130            
131            [60000/60000]       0.6127              77.5600             0.6485              131            
132            [60000/60000]       0.6206              76.5800             0.6516              132            
133            [60000/60000]       0.6123              77.6200             0.6483              133            
134            [60000/60000]       0.6203              76.7000             0.6515              134            
135            [60000/60000]       0.6120              77.6300             0.6482              135            
136            [60000/60000]       0.6200              76.6900             0.6514              136            
137            [60000/60000]       0.6117              77.6500             0.6481              137            
138            [60000/60000]       0.6198              76.7000             0.6513              138            
139            [60000/60000]       0.6114              77.7000             0.6480              139            
