P%         IPA_Highest          STD                  BS                  
0.0        0.067087000          0.006083000          60000               
0.1        0.061981000          0.004880000          60000               
0.2        0.058311000          0.004174000          60000               
0.3        0.053142000          0.003228000          60000               
0.4        0.048655000          0.002445000          60000               
0.5        0.042886000          0.002101000          60000               
0.6        0.035804000          0.001475000          60000               
0.7        0.029016000          0.000968000          60000               
0.8        0.022240000          0.000856000          60000               
0.9        0.014384000          0.000495000          60000               
