P%,BN_learned_64,CE_learned_64,IPA_Avg_64,BN_learned_1024,CE_learned_1024,IPA_Avg_1024,BN_learned_60000,CE_learned_60000,IPA_Avg_60000
0.0,17.0,0.90894,0.08197912311729683,17.0,0.840918,0.08598041723494387,17.0,0.8528619999999999,0.08527782899964975
10.0,17.0,0.907937,0.08203812311729682,17.0,0.836522,0.086239005470238,17.0,0.843461,0.08583082899964976
20.0,17.0,0.904414,0.08224535841141446,17.0,0.830125,0.08661529958788505,17.0,0.8411230000000001,0.08596835841141447
30.0,17.0,0.913112,0.08173371135259094,17.0,0.830883,0.08657071135259094,17.0,0.841857,0.08592518194082623
40.0,17.0,0.918194,0.08143477017612034,17.0,0.8374719999999999,0.08618312311729681,17.0,0.848834,0.08551477017612034
50.0,17.0,0.947559,0.07970741723494387,17.0,0.852809,0.08528094664670857,17.0,0.8554130000000001,0.08512777017612035
60.0,17.0,0.99203,0.07709147605847329,17.0,0.883763,0.08346012311729681,17.0,0.8855710000000001,0.08335377017612033
70.0,17.0,1.070637,0.0724675348820027,17.0,0.948545,0.07964941723494388,17.0,0.935025,0.08044471135259093
80.0,17.0,1.20995,0.06427265252906152,17.0,1.085557,0.07158988782317917,17.0,1.054328,0.07342688782317917
90.0,17.0,1.510236,0.046608770176120355,17.0,1.389882,0.05368841723494387,17.0,1.356217,0.05566871135259094
100.0,,,,,,,,,
