   P%        BS             IPA    <BN_learn>      <CE_l>   N_valid_runs
------------------------------------------------------------------------
    0        64      0.04642718         38.64    0.508639            100
   10        64      0.04344248         41.26    0.510148            100
   20        64      0.03708259         48.64    0.498888            100
   30        64      0.03407787         52.76    0.504637            100
   40        64      0.03007215         59.69    0.507578            100
   50        64      0.02500231         71.82    0.506919            100
   60        64      0.02029599         87.92    0.518161            100
   70        64      0.01590149        110.83    0.540223            100
   80        64      0.01088963        157.39    0.588665            100
   90        64      0.00559062        280.16    0.736320             69
    0      1024      0.06186760         29.49    0.478110            100
   10      1024      0.05850984         31.15    0.480003            100
   20      1024      0.05229057         34.95    0.475030            100
   30      1024      0.04679068         39.09    0.473537            100
   40      1024      0.04108523         44.52    0.473471            100
   50      1024      0.03510506         52.00    0.477122            100
   60      1024      0.02925084         62.13    0.485231            100
   70      1024      0.02267043         79.32    0.504366            100
   80      1024      0.01618319        108.23    0.551079            100
   90      1024      0.00867534        183.72    0.708751            100
    0     60000      0.07127317         25.12    0.512203            100
   10     60000      0.06644019         27.06    0.504714            100
   20     60000      0.06053830         29.80    0.498544            100
   30     60000      0.05401817         33.47    0.494597            100
   40     60000      0.04714920         38.40    0.492056            100
   50     60000      0.03998797         45.34    0.489530            100
   60     60000      0.03264926         55.43    0.492837            100
   70     60000      0.02560293         70.24    0.504235            100
   80     60000      0.01827035         95.99    0.548814            100
   90     60000      0.00995143        160.72    0.703190            100
