P%,A,B,n,CE_o,CE_L,learn_BN,fitted_at_learn_BN,IPA
0.0,0.2939885200835576,6.685816044145698,1.07806125080338,2.302585092994046,0.4948481773746065,25.0,0.4933891315381068,0.07230947662477757
10.0,0.28359698703942665,6.357239548518523,1.027821152627401,2.302585092994046,0.4854957976348886,28.0,0.48320822159630983,0.06489604626282705
20.0,0.2738733966094534,6.1502842278055025,0.9826389063524162,2.302585092994046,0.4767445662479126,32.0,0.47190947127580607,0.057057516460816665
30.0,0.2666173418264771,6.2499811296053975,0.9514285329746293,2.302585092994046,0.4702141169432339,36.0,0.4679187627071597,0.05089919377918922
40.0,0.26100403736824407,6.545982174405274,0.9272375253758564,2.302585092994046,0.46516214293082436,42.0,0.46115679120539044,0.04374816547769575
50.0,0.25669752811668534,6.725301874554724,0.8945127594733138,2.302585092994046,0.46128628460442145,49.0,0.4599151833993642,0.03757752670182907
60.0,0.25652965093064395,7.288177291457032,0.8666550168158871,2.302585092994046,0.4611351951369842,61.0,0.4603434944082528,0.03018770324355839
70.0,0.27725055227272244,7.437569051010062,0.8484709700417187,2.302585092994046,0.47978400634485463,69.0,0.4795146897995922,0.02641740705288683
80.0,0.32701910612311197,9.286933512635208,0.8388661151632272,2.302585092994046,0.5245757048102053,98.0,0.5237178531042505,0.018142952940651436
82.0,0.32621051344334456,9.953123296084332,0.811836374923798,2.302585092994046,0.5238479713984148,124.0,0.5237307333775183,0.01434465420641638
84.0,0.33367558126936225,10.091631630199327,0.7724520858612017,2.302585092994046,0.5305665324418307,163.0,0.5300571111536793,0.010871279512590277
86.0,0.34463343734530527,9.314831675126644,0.7321253010385476,2.302585092994046,0.5404286029101792,195.0,0.5400477390296526,0.009036699949148035
88.0,0.3757235731343592,9.125219652714623,0.7034853273919897,2.302585092994046,0.568409725120328,240.0,0.5682672620255104,0.007225730699473825
90.0,0.42054067386732297,8.900595250980803,0.6737217737921719,2.302585092994046,0.6087451157799952,306.0,0.608377081693562,0.005535424762137421
92.0,0.47906669370761545,7.719830268124339,0.6038309283685429,2.302585092994046,0.6614185336362584,494.0,0.6612555430569951,0.003322199512870015
94.0,0.5514936200949393,6.595761066437111,0.5369340035871969,2.302585092994046,0.7266027673848499,861.0,0.7265150573933383,0.0018304092051210175
96.0,0.8328851198215094,4.990158100567077,0.5010792323099,2.302585092994046,0.9798551171387628,1135.0,0.97982093836684,0.0011654008597843904
98.0,1.5082265675701743,1.5543100852375424,0.5000202696427893,2.302585092994046,1.5876624201125615,382.0,1.5876385279914291,0.0018715253216792785
100.0,2.3,0.0,0.5,2.302585092994046,2.3002585092994043,0.0,2.3,
