P%,n_runs,n_valid,IPA_mean,IPA_std
0.0,100,100,0.07161961292981826,0.004520746906923487
10.0,100,100,0.06458787437866713,0.0028726660816396814
20.0,100,100,0.057656916681770254,0.0017735201817430204
30.0,100,100,0.050828448094203116,0.0021920993836184997
40.0,100,100,0.04418662182370069,0.0018363624359533377
50.0,100,100,0.03874477817073479,0.015918323575450935
60.0,100,100,0.03318432526874604,0.0330838604312565
70.0,100,100,0.05142219285007446,0.08825898395194554
80.0,100,100,0.041950567034930254,0.07630717473537056
82.0,63,63,0.021447084115392173,0.038843413031026564
84.0,63,63,0.010812055964544346,0.0018780577899717337
86.0,63,63,0.00903353971652302,0.0013357366728587888
88.0,63,63,0.0072141230402995365,0.0011665614813954471
90.0,100,100,0.00554794315105207,0.0014118394908457644
92.0,62,62,0.003351632258324622,0.0007670711746703964
94.0,62,62,0.001852186828563901,0.00035538615918028616
96.0,62,62,0.003567213379820867,0.005954154517025481
98.0,62,62,0.007132730696283133,0.003974257666046153
100.0,100,0,,
