P%,n_runs,n_valid,IPA_mean,IPA_std
0.0,100,100,0.08437220909836501,0.18035251362814758
10.0,100,100,0.07794471880181163,0.10973475023075263
20.0,100,100,0.07504552379047537,0.10042454906298806
30.0,100,99,0.06196770147824437,0.07533706961721107
40.0,100,100,0.09492320223065168,0.21232289444490154
50.0,100,100,0.057920667414181864,0.11382712646615646
60.0,100,100,0.0674875140621004,0.1257728376627354
70.0,100,100,0.06537514604785029,0.14280401929994213
80.0,100,100,0.03125068031124648,0.16909136898465732
82.0,63,63,0.011218248032317676,0.001660137289439463
84.0,63,63,0.009492776956701315,0.0013258253799030516
86.0,63,63,0.007787879366743074,0.0011591370083340413
88.0,63,63,0.006181034251919227,0.001095693503462269
90.0,100,100,0.004594643173366622,0.000672081115313994
92.0,63,63,0.0032130095282652685,0.000810147862424402
94.0,62,62,0.0016481469479186896,0.00036215318718674954
96.0,62,62,0.006871967163501691,0.007601935838402693
98.0,62,62,0.007254679943325681,0.003701416159180983
100.0,100,0,,
