Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/60000]           --                  9.020               2.4994              0
1              [64/60000]          2.5859              24.9400             2.2102              1              
1              [128/60000]         2.1936              34.4200             1.9324              2              
1              [192/60000]         2.0220              50.3700             1.6171              3              
1              [256/60000]         1.6667              50.2100             1.5307              4              
1              [320/60000]         1.4636              61.3500             1.2960              5              
1              [384/60000]         1.4291              68.0000             1.1972              6              
1              [448/60000]         1.1330              64.9200             1.1616              7              
1              [512/60000]         1.1958              66.8300             1.0924              8              
1              [576/60000]         1.1194              68.8800             1.0137              9              
1              [640/60000]         1.0953              74.0500             0.9346              10             
1              [704/60000]         0.8942              71.9200             0.9210              11             
1              [768/60000]         1.1108              76.0000             0.8982              12             
1              [832/60000]         0.8571              73.5900             0.9044              13             
1              [896/60000]         0.7958              78.1600             0.8034              14             
1              [960/60000]         0.7786              78.4500             0.7806              15             
1              [1024/60000]        0.8637              77.9600             0.7914              16             
1              [1088/60000]        0.8335              79.9500             0.7273              17             
1              [1152/60000]        0.6963              82.1300             0.6970              18             
1              [1216/60000]        0.7748              79.2400             0.7241              19             
1              [1280/60000]        0.7773              83.3200             0.6689              20             
1              [1344/60000]        0.7054              84.0100             0.6400              21             
1              [1408/60000]        0.5538              83.6400             0.6349              22             
1              [1472/60000]        0.6552              80.0000             0.6706              23             
1              [1536/60000]        0.9959              80.4700             0.6739              24             
1              [1600/60000]        0.5605              82.5500             0.6307              25             
1              [1664/60000]        0.6741              82.1600             0.6240              26             
1              [1728/60000]        0.6509              83.0300             0.5937              27             
1              [1792/60000]        0.6756              81.8500             0.6019              28             
1              [1856/60000]        0.5826              85.5700             0.5569              29             
1              [1920/60000]        0.4514              83.8600             0.5794              30             
1              [1984/60000]        0.6371              84.1300             0.5740              31             
1              [2048/60000]        0.6665              85.1800             0.5508              32             
1              [2112/60000]        0.5337              86.5500             0.5241              33             
1              [2176/60000]        0.5616              86.3500             0.5213              34             
1              [2240/60000]        0.6674              84.2600             0.5496              35             
1              [2304/60000]        0.6231              83.4000             0.5509              36             
1              [2368/60000]        0.5737              84.9100             0.5201              37             
1              [2432/60000]        0.4924              85.7300             0.5104              38             
1              [2496/60000]        0.5709              84.7700             0.5252              39             
1              [2560/60000]        0.5885              86.6800             0.5047              40             
1              [2624/60000]        0.4899              86.8200             0.4846              41             
1              [2688/60000]        0.5230              86.6700             0.5049              42             
1              [2752/60000]        0.3372              87.0600             0.4858              43             
1              [2816/60000]        0.3931              86.8900             0.4778              44             
1              [2880/60000]        0.5398              86.0700             0.4926              45             
1              [2944/60000]        0.4418              84.2700             0.5173              46             
1              [3008/60000]        0.6089              86.6600             0.4847              47             
1              [3072/60000]        0.5913              84.0600             0.5104              48             
1              [3136/60000]        0.4140              86.5900             0.4687              49             
1              [3200/60000]        0.6190              87.0800             0.4694              50             
1              [3264/60000]        0.4818              87.1200             0.4653              51             
1              [3328/60000]        0.4447              85.5800             0.4812              52             
1              [3392/60000]        0.4265              86.7200             0.4655              53             
1              [3456/60000]        0.6237              85.5900             0.4814              54             
1              [3520/60000]        0.5178              86.9200             0.4653              55             
1              [3584/60000]        0.4480              87.3800             0.4478              56             
1              [3648/60000]        0.3805              87.4900             0.4374              57             
1              [3712/60000]        0.4268              87.6700             0.4370              58             
1              [3776/60000]        0.5150              87.7400             0.4426              59             
1              [3840/60000]        0.4055              85.3400             0.4774              60             
1              [3904/60000]        0.4672              86.5400             0.4528              61             
1              [3968/60000]        0.5834              88.0200             0.4169              62             
1              [4032/60000]        0.5960              86.9000             0.4529              63             
1              [4096/60000]        0.4297              87.1800             0.4417              64             
1              [4160/60000]        0.4056              85.9000             0.4609              65             
1              [4224/60000]        0.4132              88.0300             0.4175              66             
1              [4288/60000]        0.4947              86.6900             0.4426              67             
1              [4352/60000]        0.4261              87.8800             0.4185              68             
1              [4416/60000]        0.3579              86.9800             0.4224              69             
1              [4480/60000]        0.3932              88.7600             0.4001              70             
1              [4544/60000]        0.4228              88.0800             0.4180              71             
1              [4608/60000]        0.4046              88.7700             0.4039              72             
1              [4672/60000]        0.3617              87.6800             0.4139              73             
1              [4736/60000]        0.5180              88.0200             0.4304              74             
1              [4800/60000]        0.2567              89.3200             0.3835              75             
1              [4864/60000]        0.2077              87.9800             0.4044              76             
1              [4928/60000]        0.4211              88.1900             0.4179              77             
1              [4992/60000]        0.4311              88.5500             0.4070              78             
1              [5056/60000]        0.4245              89.4400             0.3797              79             
1              [5120/60000]        0.3800              88.9100             0.3831              80             
1              [5184/60000]        0.3120              88.6500             0.3864              81             
1              [5248/60000]        0.3618              86.8100             0.4181              82             
