Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/60000]           --                  9.020               2.3547              0
1              [64/60000]          2.3079              24.8000             2.1558              1              
1              [128/60000]         2.1312              31.2300             2.0167              2              
1              [192/60000]         2.0955              54.4200             1.7338              3              
1              [256/60000]         1.7847              57.3100             1.6104              4              
1              [320/60000]         1.6442              60.5800             1.5119              5              
1              [384/60000]         1.4326              61.3100             1.4720              6              
1              [448/60000]         1.5494              58.3400             1.3811              7              
1              [512/60000]         1.4186              67.6300             1.2436              8              
1              [576/60000]         1.3016              66.7500             1.2331              9              
1              [640/60000]         1.3183              63.6500             1.1686              10             
1              [704/60000]         1.1746              73.9900             1.0855              11             
1              [768/60000]         1.0096              72.3600             1.0694              12             
1              [832/60000]         0.9995              72.1000             1.0247              13             
1              [896/60000]         1.1143              77.5200             0.9458              14             
1              [960/60000]         0.8937              77.4900             0.9161              15             
1              [1024/60000]        0.7241              76.0800             0.9052              16             
1              [1088/60000]        0.8880              78.3800             0.8641              17             
1              [1152/60000]        0.8926              77.4900             0.8574              18             
1              [1216/60000]        1.0440              81.0600             0.8239              19             
1              [1280/60000]        0.9286              78.1300             0.8116              20             
1              [1344/60000]        0.9875              78.4800             0.8349              21             
1              [1408/60000]        0.7721              80.0300             0.7801              22             
1              [1472/60000]        0.8679              79.3300             0.7827              23             
1              [1536/60000]        0.8567              82.8800             0.7336              24             
1              [1600/60000]        0.6852              82.8600             0.7168              25             
1              [1664/60000]        1.0057              79.7700             0.7564              26             
1              [1728/60000]        0.7824              83.4000             0.6939              27             
1              [1792/60000]        0.7647              82.0600             0.7018              28             
1              [1856/60000]        0.7568              82.8600             0.6819              29             
1              [1920/60000]        0.8477              84.3300             0.6575              30             
1              [1984/60000]        0.6202              83.3300             0.6584              31             
1              [2048/60000]        0.8964              79.4300             0.7067              32             
1              [2112/60000]        0.6091              83.2500             0.6447              33             
1              [2176/60000]        0.6444              84.9700             0.6220              34             
1              [2240/60000]        0.6776              84.2600             0.6263              35             
1              [2304/60000]        0.6418              84.1300             0.6212              36             
1              [2368/60000]        0.7083              82.5200             0.6252              37             
1              [2432/60000]        0.4776              83.3200             0.6231              38             
1              [2496/60000]        0.5318              83.2800             0.6030              39             
1              [2560/60000]        0.7069              86.0400             0.5763              40             
1              [2624/60000]        0.7405              84.7900             0.5914              41             
1              [2688/60000]        0.5684              84.4500             0.5821              42             
1              [2752/60000]        0.7540              85.6000             0.5664              43             
1              [2816/60000]        0.6656              85.8900             0.5699              44             
1              [2880/60000]        0.6213              85.6800             0.5624              45             
1              [2944/60000]        0.6304              86.1000             0.5594              46             
1              [3008/60000]        0.5478              84.8200             0.5736              47             
1              [3072/60000]        0.4894              84.9300             0.5773              48             
1              [3136/60000]        0.5286              86.7700             0.5371              49             
1              [3200/60000]        0.6243              83.3800             0.5684              50             
1              [3264/60000]        0.7022              86.7600             0.5185              51             
1              [3328/60000]        0.7121              86.7500             0.5230              52             
1              [3392/60000]        0.5091              86.2000             0.5182              53             
1              [3456/60000]        0.5510              85.6200             0.5290              54             
1              [3520/60000]        0.4791              86.1500             0.5164              55             
1              [3584/60000]        0.5270              86.3500             0.5176              56             
1              [3648/60000]        0.4914              86.8200             0.5020              57             
1              [3712/60000]        0.5638              86.4400             0.5073              58             
1              [3776/60000]        0.4696              87.1300             0.4887              59             
1              [3840/60000]        0.5966              86.3100             0.5036              60             
1              [3904/60000]        0.4069              85.7200             0.5087              61             
1              [3968/60000]        0.8113              86.2300             0.5002              62             
1              [4032/60000]        0.5079              87.1400             0.4842              63             
1              [4096/60000]        0.5957              87.5000             0.4820              64             
1              [4160/60000]        0.4035              87.3300             0.4780              65             
1              [4224/60000]        0.4080              86.5700             0.4836              66             
1              [4288/60000]        0.4460              86.9300             0.4773              67             
1              [4352/60000]        0.4401              87.5800             0.4671              68             
1              [4416/60000]        0.4113              87.1500             0.4683              69             
1              [4480/60000]        0.5169              87.3500             0.4694              70             
1              [4544/60000]        0.6520              87.4400             0.4698              71             
1              [4608/60000]        0.4774              87.1700             0.4633              72             
1              [4672/60000]        0.4440              86.3300             0.4782              73             
1              [4736/60000]        0.4549              86.7400             0.4688              74             
1              [4800/60000]        0.4285              85.9100             0.4882              75             
1              [4864/60000]        0.5017              86.9700             0.4697              76             
1              [4928/60000]        0.5675              87.4700             0.4588              77             
1              [4992/60000]        0.3694              87.8800             0.4416              78             
1              [5056/60000]        0.4620              85.8000             0.4695              79             
1              [5120/60000]        0.5551              87.9200             0.4488              80             
1              [5184/60000]        0.3993              86.4800             0.4673              81             
1              [5248/60000]        0.4227              88.4700             0.4407              82             
1              [5312/60000]        0.3610              87.9500             0.4358              83             
1              [5376/60000]        0.4676              87.7800             0.4355              84             
1              [5440/60000]        0.7766              87.9600             0.4303              85             
1              [5504/60000]        0.4773              87.9400             0.4341              86             
1              [5568/60000]        0.5732              88.3500             0.4317              87             
1              [5632/60000]        0.4062              88.6400             0.4234              88             
1              [5696/60000]        0.4317              87.2500             0.4565              89             
1              [5760/60000]        0.5157              88.0400             0.4363              90             
1              [5824/60000]        0.4269              88.0200             0.4416              91             
1              [5888/60000]        0.4006              87.9000             0.4369              92             
1              [5952/60000]        0.4159              88.2200             0.4323              93             
1              [6016/60000]        0.4593              88.2800             0.4336              94             
1              [6080/60000]        0.2669              88.2100             0.4265              95             
1              [6144/60000]        0.4646              87.4500             0.4340              96             
1              [6208/60000]        0.5601              87.4500             0.4375              97             
1              [6272/60000]        0.4815              87.4800             0.4345              98             
1              [6336/60000]        0.6213              88.6300             0.4163              99             
1              [6400/60000]        0.2916              89.1600             0.4039              100            
1              [6464/60000]        0.5015              88.9700             0.4097              101            
1              [6528/60000]        0.4370              88.8000             0.4045              102            
1              [6592/60000]        0.3923              88.2500             0.4211              103            
1              [6656/60000]        0.4471              88.5500             0.4123              104            
1              [6720/60000]        0.3794              88.2000             0.4233              105            
1              [6784/60000]        0.5308              88.4900             0.4116              106            
1              [6848/60000]        0.2538              88.5500             0.4115              107            
1              [6912/60000]        0.4004              88.8500             0.4064              108            
1              [6976/60000]        0.3636              88.8200             0.3990              109            
1              [7040/60000]        0.4373              88.2500             0.4118              110            
1              [7104/60000]        0.3073              88.3100             0.4077              111            
1              [7168/60000]        0.6486              89.0800             0.4004              112            
1              [7232/60000]        0.5781              89.1700             0.3982              113            
1              [7296/60000]        0.4652              89.2100             0.3955              114            
1              [7360/60000]        0.5763              88.6500             0.4140              115            
1              [7424/60000]        0.3097              88.8000             0.4089              116            
1              [7488/60000]        0.2273              88.9100             0.4039              117            
1              [7552/60000]        0.4960              88.8500             0.4049              118            
1              [7616/60000]        0.4361              88.6400             0.4092              119            
1              [7680/60000]        0.4437              88.6900             0.4071              120            
1              [7744/60000]        0.3187              88.4800             0.4030              121            
1              [7808/60000]        0.3452              88.0200             0.4125              122            
1              [7872/60000]        0.3776              88.3600             0.4081              123            
1              [7936/60000]        0.4320              88.9900             0.3944              124            
1              [8000/60000]        0.4682              89.1600             0.3891              125            
1              [8064/60000]        0.5017              88.7200             0.3931              126            
1              [8128/60000]        0.6043              88.4500             0.3965              127            
1              [8192/60000]        0.5862              88.8100             0.3939              128            
1              [8256/60000]        0.4737              88.7800             0.3982              129            
1              [8320/60000]        0.3741              89.2400             0.3910              130            
1              [8384/60000]        0.3414              88.8100             0.3915              131            
1              [8448/60000]        0.3782              87.9000             0.4086              132            
1              [8512/60000]        0.4002              88.8300             0.3939              133            
1              [8576/60000]        0.4596              88.8400             0.3901              134            
1              [8640/60000]        0.3419              88.6200             0.3963              135            
1              [8704/60000]        0.4339              89.0000             0.3857              136            
1              [8768/60000]        0.5338              89.3100             0.3854              137            
1              [8832/60000]        0.4287              89.2500             0.3765              138            
1              [8896/60000]        0.4136              89.5700             0.3740              139            
1              [8960/60000]        0.3788              89.5100             0.3744              140            
1              [9024/60000]        0.4357              89.5700             0.3752              141            
1              [9088/60000]        0.2190              89.5500             0.3726              142            
1              [9152/60000]        0.3979              88.9300             0.3836              143            
1              [9216/60000]        0.4333              88.1900             0.4014              144            
1              [9280/60000]        0.3783              89.7200             0.3769              145            
1              [9344/60000]        0.3275              89.5500             0.3749              146            
1              [9408/60000]        0.4141              89.7600             0.3684              147            
1              [9472/60000]        0.4337              89.6900             0.3824              148            
1              [9536/60000]        0.2490              89.7900             0.3796              149            
1              [9600/60000]        0.4726              88.3600             0.4066              150            
1              [9664/60000]        0.2541              88.5300             0.3995              151            
1              [9728/60000]        0.4679              89.1100             0.3843              152            
1              [9792/60000]        0.4747              89.6300             0.3825              153            
1              [9856/60000]        0.3295              88.8700             0.3883              154            
1              [9920/60000]        0.3931              88.8100             0.3849              155            
1              [9984/60000]        0.3882              89.3600             0.3784              156            
1              [10048/60000]       0.4245              89.1900             0.3758              157            
1              [10112/60000]       0.3189              89.3700             0.3677              158            
1              [10176/60000]       0.3435              89.0700             0.3763              159            
1              [10240/60000]       0.3126              88.5300             0.3897              160            
1              [10304/60000]       0.3374              88.7700             0.3882              161            
1              [10368/60000]       0.4389              89.1100             0.3818              162            
1              [10432/60000]       0.3123              88.6600             0.3796              163            
1              [10496/60000]       0.5919              89.5500             0.3652              164            
1              [10560/60000]       0.4156              89.1300             0.3727              165            
1              [10624/60000]       0.8534              89.8000             0.3641              166            
1              [10688/60000]       0.3307              89.4800             0.3662              167            
1              [10752/60000]       0.3706              88.8700             0.3784              168            
1              [10816/60000]       0.3894              89.5000             0.3673              169            
1              [10880/60000]       0.3322              89.3200             0.3617              170            
1              [10944/60000]       0.5213              88.8200             0.3766              171            
1              [11008/60000]       0.2366              89.4400             0.3691              172            
1              [11072/60000]       0.4545              89.4900             0.3624              173            
1              [11136/60000]       0.2047              89.5300             0.3643              174            
1              [11200/60000]       0.3902              89.6300             0.3632              175            
1              [11264/60000]       0.3825              89.8500             0.3574              176            
1              [11328/60000]       0.3065              89.6500             0.3571              177            
1              [11392/60000]       0.2746              89.4700             0.3606              178            
1              [11456/60000]       0.4613              89.8600             0.3602              179            
1              [11520/60000]       0.4655              89.9100             0.3552              180            
1              [11584/60000]       0.4676              88.9000             0.3916              181            
1              [11648/60000]       0.4609              89.7300             0.3668              182            
1              [11712/60000]       0.3879              89.1200             0.3833              183            
1              [11776/60000]       0.3006              89.1000             0.3796              184            
1              [11840/60000]       0.2953              89.8500             0.3657              185            
1              [11904/60000]       0.3609              89.8900             0.3586              186            
1              [11968/60000]       0.4973              89.8300             0.3565              187            
1              [12032/60000]       0.3092              90.1300             0.3512              188            
1              [12096/60000]       0.1815              90.3100             0.3490              189            
1              [12160/60000]       0.2328              89.8100             0.3574              190            
1              [12224/60000]       0.3511              90.2200             0.3458              191            
1              [12288/60000]       0.2753              89.7500             0.3556              192            
1              [12352/60000]       0.3557              89.5800             0.3617              193            
1              [12416/60000]       0.1858              89.5700             0.3623              194            
1              [12480/60000]       0.3728              89.8400             0.3555              195            
1              [12544/60000]       0.4858              89.8600             0.3628              196            
1              [12608/60000]       0.4343              89.7500             0.3668              197            
1              [12672/60000]       0.2387              90.0400             0.3558              198            
1              [12736/60000]       0.3630              89.9700             0.3589              199            
1              [12800/60000]       0.5213              90.1000             0.3512              200            
1              [12864/60000]       0.2774              89.8400             0.3533              201            
1              [12928/60000]       0.3713              89.4000             0.3625              202            
1              [12992/60000]       0.4900              89.6000             0.3624              203            
1              [13056/60000]       0.4371              90.2000             0.3471              204            
1              [13120/60000]       0.3282              90.1600             0.3459              205            
1              [13184/60000]       0.2912              90.2900             0.3457              206            
1              [13248/60000]       0.3611              89.7600             0.3605              207            
1              [13312/60000]       0.5612              89.8700             0.3518              208            
1              [13376/60000]       0.3240              89.1000             0.3757              209            
1              [13440/60000]       0.2420              89.6600             0.3585              210            
1              [13504/60000]       0.2964              89.5700             0.3546              211            
1              [13568/60000]       0.3361              89.8200             0.3560              212            
1              [13632/60000]       0.3662              90.1800             0.3487              213            
1              [13696/60000]       0.4520              90.4300             0.3383              214            
1              [13760/60000]       0.3089              89.9500             0.3457              215            
1              [13824/60000]       0.3893              89.7000             0.3553              216            
1              [13888/60000]       0.5069              88.5500             0.3824              217            
1              [13952/60000]       0.5130              90.0100             0.3506              218            
1              [14016/60000]       0.3944              89.9000             0.3491              219            
1              [14080/60000]       0.5728              90.4100             0.3387              220            
1              [14144/60000]       0.2168              90.3200             0.3391              221            
1              [14208/60000]       0.6409              89.7200             0.3572              222            
1              [14272/60000]       0.3251              89.7800             0.3503              223            
1              [14336/60000]       0.4688              89.7500             0.3525              224            
1              [14400/60000]       0.4385              89.8600             0.3509              225            
1              [14464/60000]       0.2803              90.2900             0.3406              226            
1              [14528/60000]       0.2771              90.4300             0.3420              227            
1              [14592/60000]       0.4672              90.2800             0.3390              228            
1              [14656/60000]       0.2385              89.8300             0.3517              229            
1              [14720/60000]       0.1905              90.2300             0.3426              230            
1              [14784/60000]       0.4012              90.2800             0.3451              231            
1              [14848/60000]       0.2619              90.4100             0.3371              232            
1              [14912/60000]       0.2675              90.4900             0.3378              233            
1              [14976/60000]       0.2831              90.5000             0.3375              234            
1              [15040/60000]       0.4438              90.5400             0.3316              235            
1              [15104/60000]       0.2995              90.4600             0.3329              236            
1              [15168/60000]       0.5480              90.3400             0.3387              237            
1              [15232/60000]       0.1942              90.5200             0.3359              238            
1              [15296/60000]       0.3290              90.4600             0.3355              239            
1              [15360/60000]       0.4275              90.4000             0.3364              240            
1              [15424/60000]       0.4416              90.6300             0.3369              241            
1              [15488/60000]       0.3328              89.7300             0.3561              242            
1              [15552/60000]       0.4992              90.2800             0.3478              243            
1              [15616/60000]       0.2891              89.9500             0.3505              244            
1              [15680/60000]       0.3590              90.0500             0.3445              245            
1              [15744/60000]       0.2329              90.2200             0.3371              246            
1              [15808/60000]       0.2656              90.3000             0.3382              247            
1              [15872/60000]       0.5045              90.4100             0.3442              248            
1              [15936/60000]       0.3838              90.0500             0.3488              249            
1              [16000/60000]       0.4411              90.1500             0.3446              250            
1              [16064/60000]       0.5000              90.4600             0.3346              251            
1              [16128/60000]       0.3298              90.3200             0.3355              252            
1              [16192/60000]       0.5800              90.0400             0.3401              253            
1              [16256/60000]       0.3587              90.3400             0.3394              254            
1              [16320/60000]       0.4909              88.6700             0.3776              255            
1              [16384/60000]       0.4964              89.7700             0.3514              256            
1              [16448/60000]       0.2003              89.7600             0.3493              257            
1              [16512/60000]       0.4576              89.9900             0.3494              258            
1              [16576/60000]       0.3891              90.4900             0.3376              259            
