P%         BS         Avg_CE_test          StdDev_CE_test      
0.0        64         0.353679000          0.024229000         
0.0        1024       0.307762000          0.016099000         
0.0        60000      0.329306000          0.009906000         
0.1        64         0.355609000          0.023390000         
0.1        1024       0.304430000          0.013482000         
0.1        60000      0.323099000          0.008131000         
0.2        64         0.349773000          0.017681000         
0.2        1024       0.301916000          0.010952000         
0.2        60000      0.319993000          0.007593000         
0.3        64         0.354509000          0.016386000         
0.3        1024       0.301848000          0.008700000         
0.3        60000      0.316650000          0.006011000         
0.4        64         0.356946000          0.016986000         
0.4        1024       0.304221000          0.006936000         
0.4        60000      0.315320000          0.005852000         
0.5        64         0.364193000          0.014831000         
0.5        1024       0.308797000          0.005090000         
0.5        60000      0.316282000          0.005428000         
0.6        64         0.380265000          0.011606000         
0.6        1024       0.322498000          0.005656000         
0.6        60000      0.324664000          0.005184000         
0.7        64         0.408221000          0.013953000         
0.7        1024       0.351525000          0.008428000         
0.7        60000      0.343709000          0.006900000         
0.8        64         0.480420000          0.016729000         
0.8        1024       0.418316000          0.014546000         
0.8        60000      0.407059000          0.013677000         
0.9        64         0.701605000          0.039914000         
0.9        1024       0.634166000          0.037811000         
0.9        60000      0.620995000          0.033329000         
1.0        64         2.302600000          0.000000000         
1.0        1024       2.302600000          0.000000000         
1.0        60000      2.302600000          0.000000000         
