P%         BS         Best_Avg_CE          StdDev_CE_test      
0.0        1024       0.307762000          0.016099000         
0.1        1024       0.304430000          0.013482000         
0.2        1024       0.301916000          0.010952000         
0.3        1024       0.301848000          0.008700000         
0.4        1024       0.304221000          0.006936000         
0.5        1024       0.308797000          0.005090000         
0.6        1024       0.322498000          0.005656000         
0.7        60000      0.343709000          0.006900000         
0.8        60000      0.407059000          0.013677000         
0.9        60000      0.620995000          0.033329000         
1.0        64         2.302600000          0.000000000         
