P%         IPA_Average          STD                  BS                  
0.0        0.056386000          0.004090000          64                  
0.0        0.070970000          0.004457000          1024                
0.0        0.074445000          0.003329000          60000               
0.1        0.051499000          0.003485000          64                  
0.1        0.064801000          0.003199000          1024                
0.1        0.070128000          0.002721000          60000               
0.2        0.046355000          0.002661000          64                  
0.2        0.059292000          0.002515000          1024                
0.2        0.064802000          0.001965000          60000               
0.3        0.041712000          0.002604000          64                  
0.3        0.053253000          0.001977000          1024                
0.3        0.058492000          0.001891000          60000               
0.4        0.036826000          0.002258000          64                  
0.4        0.046838000          0.001553000          1024                
0.4        0.051305000          0.001424000          60000               
0.5        0.031554000          0.001838000          64                  
0.5        0.040376000          0.001437000          1024                
0.5        0.044239000          0.001292000          60000               
0.6        0.026184000          0.001296000          64                  
0.6        0.033846000          0.001158000          1024                
0.6        0.036664000          0.001464000          60000               
0.7        0.020615000          0.001187000          64                  
0.7        0.026737000          0.001002000          1024                
0.7        0.029300000          0.001035000          60000               
0.8        0.015188000          0.000820000          64                  
0.8        0.019917000          0.000741000          1024                
0.8        0.021640000          0.000949000          60000               
0.9        0.009345000          0.000600000          64                  
0.9        0.012356000          0.000661000          1024                
0.9        0.013442000          0.000697000          60000               
