P%         IPA_Highest          STD                  BS                  
0.0        0.074445000          0.003329000          60000               
0.1        0.070128000          0.002721000          60000               
0.2        0.064802000          0.001965000          60000               
0.3        0.058492000          0.001891000          60000               
0.4        0.051305000          0.001424000          60000               
0.5        0.044239000          0.001292000          60000               
0.6        0.036664000          0.001464000          60000               
0.7        0.029300000          0.001035000          60000               
0.8        0.021640000          0.000949000          60000               
0.9        0.013442000          0.000697000          60000               
