Current_Epoch  Batch/Total         CE_Train            Accuracy(%)         CE_TEST             Batch_Number   
0              [0/60000]           --                  9.020               2.4143              0
1              [64/60000]          2.4020              9.9600              2.4361              1              
1              [128/60000]         2.4105              20.9200             2.1574              2              
1              [192/60000]         2.2103              19.6900             2.3262              3              
1              [256/60000]         2.2278              16.9700             2.1866              4              
1              [320/60000]         2.3342              13.6900             2.1414              5              
1              [384/60000]         2.1204              29.4100             1.9796              6              
1              [448/60000]         1.9565              46.9100             1.7815              7              
1              [512/60000]         1.7354              46.4800             1.7770              8              
1              [576/60000]         1.7698              49.3800             1.6664              9              
1              [640/60000]         1.7304              53.1400             1.6412              10             
1              [704/60000]         1.5729              48.2700             1.5980              11             
1              [768/60000]         1.6790              62.2700             1.4939              12             
1              [832/60000]         1.4961              58.9200             1.4614              13             
1              [896/60000]         1.5621              63.5700             1.4165              14             
1              [960/60000]         1.4470              62.4400             1.4052              15             
1              [1024/60000]        1.5098              65.3300             1.3574              16             
1              [1088/60000]        1.4362              60.1600             1.4043              17             
1              [1152/60000]        1.2648              69.2700             1.2457              18             
1              [1216/60000]        1.2232              55.0100             1.3711              19             
1              [1280/60000]        1.3082              72.6500             1.1880              20             
1              [1344/60000]        1.3000              50.4500             1.3457              21             
1              [1408/60000]        1.4014              73.5700             1.1606              22             
1              [1472/60000]        1.1927              72.6300             1.1237              23             
1              [1536/60000]        1.2204              65.5000             1.1591              24             
1              [1600/60000]        0.9762              67.5700             1.1422              25             
1              [1664/60000]        1.1802              70.7700             1.0852              26             
1              [1728/60000]        1.0906              72.1000             1.0761              27             
1              [1792/60000]        1.0512              75.8500             1.0118              28             
1              [1856/60000]        1.0036              71.0800             1.0477              29             
1              [1920/60000]        1.0530              73.4200             1.0008              30             
1              [1984/60000]        0.9174              77.9100             0.9618              31             
1              [2048/60000]        0.9862              75.4500             0.9682              32             
1              [2112/60000]        0.9986              75.6600             0.9647              33             
1              [2176/60000]        0.9979              75.7700             0.9332              34             
1              [2240/60000]        0.9569              77.4500             0.9150              35             
1              [2304/60000]        1.0369              79.0900             0.9035              36             
1              [2368/60000]        0.8749              77.0800             0.9046              37             
1              [2432/60000]        0.9424              77.6500             0.8820              38             
1              [2496/60000]        0.9485              76.0900             0.8863              39             
1              [2560/60000]        0.8142              80.1600             0.8485              40             
1              [2624/60000]        0.9335              77.1100             0.8723              41             
1              [2688/60000]        0.9072              78.7200             0.8430              42             
1              [2752/60000]        1.0529              75.1900             0.8964              43             
1              [2816/60000]        0.9461              76.1900             0.8511              44             
1              [2880/60000]        0.9372              80.4500             0.8024              45             
1              [2944/60000]        0.8356              75.4300             0.8619              46             
1              [3008/60000]        0.8736              80.2300             0.8102              47             
1              [3072/60000]        0.7067              82.6900             0.7624              48             
1              [3136/60000]        0.8044              73.3600             0.8552              49             
1              [3200/60000]        1.0620              77.2100             0.8333              50             
1              [3264/60000]        0.7091              78.6300             0.8024              51             
1              [3328/60000]        1.0037              80.4700             0.7625              52             
1              [3392/60000]        0.6222              81.3500             0.7585              53             
1              [3456/60000]        0.9408              81.9900             0.7436              54             
1              [3520/60000]        0.6519              79.3200             0.7644              55             
1              [3584/60000]        0.8778              81.4300             0.7396              56             
1              [3648/60000]        0.8613              80.8600             0.7319              57             
1              [3712/60000]        0.8036              77.7200             0.7682              58             
1              [3776/60000]        0.8040              80.9900             0.7207              59             
1              [3840/60000]        0.7047              80.7000             0.7216              60             
1              [3904/60000]        0.6209              83.5100             0.6838              61             
1              [3968/60000]        0.5601              81.4600             0.7091              62             
1              [4032/60000]        0.6191              82.4400             0.6903              63             
1              [4096/60000]        0.7940              76.6000             0.7369              64             
1              [4160/60000]        0.5797              81.3800             0.6914              65             
1              [4224/60000]        0.6405              81.1500             0.6940              66             
1              [4288/60000]        0.8246              81.7200             0.7002              67             
1              [4352/60000]        0.7728              77.3100             0.7334              68             
1              [4416/60000]        0.8936              81.0900             0.7055              69             
1              [4480/60000]        0.5776              82.1800             0.6591              70             
1              [4544/60000]        0.6912              79.9700             0.6767              71             
1              [4608/60000]        0.6885              82.1000             0.6596              72             
1              [4672/60000]        0.6561              80.3800             0.6952              73             
1              [4736/60000]        0.8468              77.9100             0.7146              74             
1              [4800/60000]        0.7258              81.8300             0.6608              75             
1              [4864/60000]        0.7587              80.0800             0.6775              76             
1              [4928/60000]        0.8660              80.0000             0.6813              77             
1              [4992/60000]        0.5468              83.9200             0.6208              78             
1              [5056/60000]        0.6327              84.0400             0.6138              79             
1              [5120/60000]        0.5409              77.7900             0.6783              80             
1              [5184/60000]        0.6170              84.1000             0.6162              81             
1              [5248/60000]        0.6560              81.9000             0.6511              82             
1              [5312/60000]        0.5589              82.8000             0.6216              83             
1              [5376/60000]        0.5578              83.9600             0.6152              84             
1              [5440/60000]        0.5968              82.7100             0.6309              85             
1              [5504/60000]        0.7580              81.1500             0.6510              86             
1              [5568/60000]        0.7456              83.4600             0.6047              87             
1              [5632/60000]        0.7094              82.2500             0.6161              88             
1              [5696/60000]        0.4730              84.4100             0.5984              89             
1              [5760/60000]        0.4646              82.8400             0.6068              90             
1              [5824/60000]        0.6979              79.5500             0.6437              91             
1              [5888/60000]        0.6008              81.8600             0.6185              92             
1              [5952/60000]        0.5623              83.8900             0.5916              93             
1              [6016/60000]        0.6817              83.6400             0.5926              94             
1              [6080/60000]        0.6141              83.3800             0.5832              95             
1              [6144/60000]        0.5644              83.2800             0.5925              96             
1              [6208/60000]        0.8316              84.9900             0.5752              97             
1              [6272/60000]        0.6144              84.7000             0.5735              98             
1              [6336/60000]        0.6276              85.0400             0.5654              99             
1              [6400/60000]        0.5700              83.6300             0.5797              100            
1              [6464/60000]        0.4492              84.2200             0.5743              101            
1              [6528/60000]        0.6152              81.3800             0.6034              102            
1              [6592/60000]        0.7284              85.0900             0.5631              103            
1              [6656/60000]        0.5009              84.4600             0.5678              104            
1              [6720/60000]        0.6867              82.2700             0.6003              105            
1              [6784/60000]        0.4946              83.4400             0.5814              106            
1              [6848/60000]        0.5262              85.7300             0.5365              107            
1              [6912/60000]        0.4897              83.6800             0.5756              108            
1              [6976/60000]        0.6697              83.7900             0.5619              109            
1              [7040/60000]        0.9160              81.8700             0.6000              110            
1              [7104/60000]        0.7036              84.6900             0.5414              111            
1              [7168/60000]        0.6603              83.4600             0.5579              112            
1              [7232/60000]        0.4970              84.6500             0.5403              113            
1              [7296/60000]        0.5513              84.9600             0.5380              114            
1              [7360/60000]        0.5993              84.1900             0.5533              115            
1              [7424/60000]        0.5005              84.3000             0.5480              116            
1              [7488/60000]        0.5912              85.9000             0.5290              117            
1              [7552/60000]        0.5282              85.0700             0.5243              118            
1              [7616/60000]        0.6372              85.4700             0.5248              119            
1              [7680/60000]        0.5450              83.6100             0.5755              120            
1              [7744/60000]        0.4728              85.1200             0.5274              121            
1              [7808/60000]        0.6797              84.1600             0.5498              122            
1              [7872/60000]        0.6035              85.0000             0.5476              123            
1              [7936/60000]        0.4471              84.3600             0.5604              124            
