P%         IPA_Highest          STD                  BS                  
0.0        0.040365000          0.002172000          60000               
0.1        0.037954000          0.001711000          60000               
0.2        0.035116000          0.001633000          60000               
0.3        0.032096000          0.001286000          60000               
0.4        0.029281000          0.001374000          60000               
0.5        0.026135000          0.001351000          60000               
0.6        0.022231000          0.000966000          60000               
0.7        0.018400000          0.000646000          60000               
0.8        0.013932000          0.000525000          60000               
0.9        0.008975000          0.000472000          60000               
